0.0,1.57,1.57,32.83
0.04,1.57,1.53,29.58
0.16,1.57,1.41,25.59
0.32,1.57,1.25,21.36
0.5,1.57,1.07,17.08
0.7,1.57,0.87,12.86
0.91,1.57,0.66,8.79
1.12,1.57,0.45,4.88
1.3,1.57,0.27,1.92
1.43,1.57,0.15,-0.04
1.51,1.57,0.06,-1.06
1.55,1.57,0.02,-1.32
1.56,1.57,0.01,-1.11
1.56,1.57,0.01,-0.74
1.56,1.57,0.01,-0.36
1.55,1.57,0.02,-0.06
1.54,1.57,0.03,0.18
1.54,1.57,0.03,0.37
1.54,1.57,0.03,0.38
1.54,1.57,0.03,0.38
1.54,1.57,0.03,0.37
1.55,1.57,0.02,0.33
1.55,1.57,0.02,0.31
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.25
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.24
1.55,1.57,0.02,0.25
1.55,1.57,0.02,0.25
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.26
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.55,1.57,0.02,0.27
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,1.57,0.02,0.24
1.56,0.0,0.0,-32.58
1.52,0.0,0.0,-29.46
1.4,0.0,0.0,-25.49
1.25,0.0,0.0,-21.23
1.06,0.0,0.0,-16.98
0.86,0.0,0.0,-12.78
0.66,0.0,-0.66,-8.74
0.44,0.0,-0.44,-4.82
0.27,0.0,-0.27,-1.89
0.14,0.0,-0.14,0.08
0.06,0.0,-0.06,1.07
0.02,0.0,-0.02,1.34
0.01,0.0,-0.01,1.13
0.01,0.0,-0.01,0.76
0.01,0.0,-0.01,0.35
0.02,0.0,-0.02,0.06
0.03,0.0,-0.03,-0.18
0.03,0.0,-0.03,-0.34
0.03,0.0,-0.03,-0.38
0.03,0.0,-0.03,-0.41
0.03,0.0,-0.03,-0.37
0.03,0.0,-0.03,-0.35
0.02,0.0,-0.02,-0.31
0.02,0.0,-0.02,-0.29
0.02,0.0,-0.02,-0.27
0.02,0.0,-0.02,-0.25
0.02,0.0,-0.02,-0.23
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.25
0.02,0.0,-0.02,-0.25
0.02,0.0,-0.02,-0.25
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.26
0.02,0.0,-0.02,-0.23
0.02,0.0,-0.02,-0.23
0.02,0.0,-0.02,-0.23
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
0.02,0.0,-0.02,-0.24
